deviceid,appversion,timestamp,id,cpuoccupancy,vss,rss
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,1,0,1691328,76156
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,2,0,1688860,77176
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,3,0,1688880,77644
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,4,6,1689940,78552
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,5,0,1688912,78548
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,6,0,1688912,78548
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,7,8,1690132,79252
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,8,21,1691296,79516
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,9,1,1691160,79644
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,10,0,1696536,83748
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,11,0,1696536,84028
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,12,4,1697544,85004
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,13,0,1695160,84236
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,14,0,1694120,83712
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,15,2,1694120,83692
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,16,0,1694204,84080
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,17,0,1694100,83720
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,18,0,1696128,83748
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,19,0,1696220,83844
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,20,1,1696220,83844
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,21,1,1696220,83820
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,22,10,1696060,83588
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,23,0,1696288,83832
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,24,0,1696220,83736
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,25,0,1696096,83708
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,26,6,1696220,83836
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,27,0,1696220,83640
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,28,1,1696092,83712
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,29,8,1696220,83840
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,30,0,1696220,83736
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,31,0,1696092,83744
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,32,0,1696288,84008
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,33,0,1696220,84088
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,34,0,1698392,85376
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,35,15,1697324,85280
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,36,0,1696188,84720
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,37,8,1696220,84596
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,38,0,1697168,85144
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,39,0,1697448,85176
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,40,0,1699584,90140
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,41,0,1699076,100588
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,42,0,1705232,100868
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,43,0,1705168,100836
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,44,15,1707220,102948
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,45,0,1705164,103384
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,46,0,1713664,114080
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,47,1,1713664,114080
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,48,0,1715456,109028
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,49,0,1711540,107928
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,50,0,1710512,107568
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,51,1,1710512,107568
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,52,0,1710512,107568
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,53,0,1695260,107584
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,54,0,1703676,108064
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,55,3,1711632,108068
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,56,13,1711792,108300
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,57,0,1698036,117936
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,58,0,1702748,109264
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,59,0,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,60,0,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,61,0,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,62,0,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,63,0,1702748,109232
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,64,6,1712200,118148
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,65,1,1703848,109612
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,66,6,1703848,109612
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,67,4,1712028,110320
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,68,12,1712316,110620
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,69,0,1715140,121708
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,70,0,1715140,122080
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,71,0,1714480,114548
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,72,0,1713068,113964
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,73,0,1712040,113956
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,74,0,1712040,112784
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,75,0,1712040,112784
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,76,0,1697112,121472
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,77,0,1696788,112448
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,78,6,1713100,112832
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,79,0,1713100,112800
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,80,0,1713260,112952
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,81,0,1714676,122052
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,82,0,1714676,121428
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,83,4,1712208,110684
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,84,0,1712040,110344
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,85,0,1712040,110344
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,86,0,1712040,110344
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,87,0,1712040,110344
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,88,0,1696804,110652
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,89,0,1696804,110616
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,90,8,1715152,112460
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,91,0,1713712,112236
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,92,7,1713712,112204
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,93,3,1714320,122000
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,94,5,1714320,122204
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,95,6,1713008,113828
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,96,0,1712708,113128
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,97,0,1712708,113128
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,98,0,1712708,113128
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,99,0,1712708,113128
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,100,0,1697472,113648
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,101,0,1697472,113424
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,102,0,1705832,114288
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,103,0,1705768,114288
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,104,0,1705768,114288
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,105,0,1712576,113128
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,106,0,1715500,121932
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,107,6,1716800,124492
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,108,0,1712604,115300
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,109,0,1712604,113780
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,110,0,1712604,113780
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,111,0,1712604,113780
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,112,2,1712640,113948
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,113,2,1705560,114312
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,114,5,1714240,114496
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,115,0,1713824,114240
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,116,0,1713824,114240
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,117,0,1715560,124060
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,118,0,1715840,124036
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,119,7,1715572,115928
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,120,1,1714212,114964
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,121,0,1714212,114932
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,122,0,1714212,114932
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,123,0,1714212,114932
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,124,0,1707388,124188
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,125,0,1707000,115412
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,126,0,1707000,115412
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,127,0,1715364,115444
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,128,0,1715264,115412
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,129,1,1715264,114508
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,130,5,1716868,115716
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,131,5,1716868,115940
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,132,0,1706668,116396
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,133,0,1706440,116040
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,134,0,1706440,116040
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,135,0,1706440,116040
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,136,0,1706440,116020
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,137,0,1707812,116288
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,138,0,1707556,116064
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,139,12,1715820,116244
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,140,0,1715820,116244
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,141,0,1715820,116244
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,142,0,1732900,121732
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,143,0,1705892,112788
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,144,0,1705892,112756
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,145,0,1705892,112756
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,146,0,1705892,112412
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,147,0,1705892,112412
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,148,0,1705892,112412
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,149,2,1705932,112620
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,150,0,1707012,113284
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,151,0,1715692,113516
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,152,0,1699308,122280
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,153,0,1706116,113528
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,154,0,1706116,113528
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,155,0,1704424,124384
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,156,0,1718804,115928
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,157,2,1718484,115736
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,158,2,1718612,115832
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,159,1,1718612,116040
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,160,1,1718612,116020
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,161,0,1718484,115892
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,162,0,1702180,124976
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,163,0,1710048,116360
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,164,4,1710048,116328
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,165,6,1715300,119716
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,166,0,1713040,119264
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,167,0,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,168,0,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,169,0,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,170,0,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,171,0,1713040,117308
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,172,0,1704972,117364
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,173,0,1704972,117548
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,174,0,1716568,128484
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,175,0,1714060,119708
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,176,0,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,177,0,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,178,0,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,179,0,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,180,0,1714060,119676
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,181,0,1706316,128580
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,182,0,1705992,119836
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,183,0,1705992,119836
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,184,0,1723788,121060
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,185,0,1723788,121036
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,186,0,1780932,134420
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,187,0,1788084,135588
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,188,9,1802932,152544
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,189,1,1802288,152544
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,190,7,1801260,151860
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,191,0,1758792,139100
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,192,0,1758784,134296
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,193,11,1780480,136776
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,194,0,1778988,136528
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,195,1,1778988,136528
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,196,0,1759272,145236
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,197,0,1767124,134468
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,198,1,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,199,1,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,200,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,201,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,202,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,203,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,204,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,205,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,206,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,207,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,208,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,209,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,210,0,1767124,134436
810EBM32TZ4K,V1.0.0,2019-03-20 10:21:12,211,0,1767124,134436
