deviceid,appversion,timestamp,traffic
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:08,50416.1748046875
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:16,50421.76171875
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:25,50430.3662109375
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:33,50448.619140625
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:41,50481.3115234375
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:49,50514.990234375
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:57,50522.28515625
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:06,50549.900390625
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:14,50567.515625
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:22,50595.08203125
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:30,50617.634765625
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:38,50643.2197265625
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:47,50659.8251953125
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:55,50677.576171875
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:03,50746.79296875
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:11,50776.818359375
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:19,50794.193359375
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:27,50810.26171875
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:36,50821.337890625
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:44,50837.751953125
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:52,50843.66015625
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:00,50851.2666015625
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:09,50864.916015625
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:17,50882.8193359375
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:25,50910.525390625
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:33,50926.1201171875
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:41,50935.7177734375
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:50,50944.3173828125
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:58,50954.3623046875
810EBM32TZ4K,V1.0.0,2019-03-14 17:34:06,50976.357421875
810EBM32TZ4K,V1.0.0,2019-03-14 17:34:14,50984.2392578125
810EBM32TZ4K,V1.0.0,2019-03-14 17:34:22,50993.890625
810EBM32TZ4K,V1.0.0,2019-03-14 17:34:31,51003.3837890625
810EBM32TZ4K,V1.0.0,2019-03-14 17:34:39,51014.568359375
810EBM32TZ4K,V1.0.0,2019-03-14 17:34:47,51023.59375
810EBM32TZ4K,V1.0.0,2019-03-14 17:34:55,51035.96875
810EBM32TZ4K,V1.0.0,2019-03-14 17:35:03,51045.509765625
810EBM32TZ4K,V1.0.0,2019-03-14 17:35:12,51057.2001953125
810EBM32TZ4K,V1.0.0,2019-03-14 17:35:20,51075.0078125
810EBM32TZ4K,V1.0.0,2019-03-14 17:35:28,51082.59375
810EBM32TZ4K,V1.0.0,2019-03-14 17:35:36,51090.6982421875
810EBM32TZ4K,V1.0.0,2019-03-14 17:35:44,51095.2265625
810EBM32TZ4K,V1.0.0,2019-03-14 17:35:53,51104.505859375
810EBM32TZ4K,V1.0.0,2019-03-14 17:36:01,51113.6474609375
810EBM32TZ4K,V1.0.0,2019-03-14 17:36:09,51120.740234375
810EBM32TZ4K,V1.0.0,2019-03-14 17:36:17,51131.08203125
810EBM32TZ4K,V1.0.0,2019-03-14 17:36:25,51138.8662109375
810EBM32TZ4K,V1.0.0,2019-03-14 17:36:34,51146.54296875
810EBM32TZ4K,V1.0.0,2019-03-14 17:36:42,51152.513671875
810EBM32TZ4K,V1.0.0,2019-03-14 17:36:50,51161.74609375
