deviceid,appversion,timestamp,meminfosize
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:09,   131235 
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:17,   134143 
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:25,   133347 
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:33,   133399 
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:41,   133447 
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:49,   133803 
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:57,   137194 
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:05,   121126 
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:13,   121882 
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:21,   119878 
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:29,   119218 
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:37,   126119 
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:45,   120934 
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:53,   134094 
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:01,   134142 
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:09,   121286 
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:17,   121098 
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:25,   128434 
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:33,   123704 
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:41,   128488 
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:48,   128036 
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:57,   123336 
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:04,   122933 
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:12,   122416 
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:20,   124096 
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:28,   124908 
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:36,   124988 
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:44,   139107 
810EBM32TZ4K,V1.0.0,2019-07-15 12:08:52,   125440 
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:00,   121142 
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:08,   134713 
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:16,   134033 
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:24,   120272 
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:32,   120238 
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:40,   118534 
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:48,   120374 
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:56,   133889 
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:05,   139713 
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:13,   135481 
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:21,   121653 
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:29,   135521 
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:37,   137177 
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:45,   137668 
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:53,   121595 
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:01,   128963 
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:09,   124307 
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:17,   121579 
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:25,   124159 
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:33,   132000 
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:41,   130774 
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:49,   130458 
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:57,   122088 
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:05,   130571 
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:13,   120499 
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:21,   121187 
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:29,   124573 
