deviceid,appversion,timestamp,power,temperature
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:24," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:29," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:34," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:39," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:44," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:49," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:55," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:00," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:05," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:10," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:15," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:20," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:25," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:30," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:35," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:41," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:46," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:51," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:56," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:01," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:06," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:11," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:16," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:21," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:26," 50
",32.0
