deviceid,appversion,timestamp,traffic
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:34,18969.53125
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:42,19049.9775390625
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:51,19170.09375
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:59,19283.3505859375
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:07,19403.951171875
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:15,19406.1181640625
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:23,19407.4326171875
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:31,19422.017578125
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:40,19423.5810546875
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:48,19435.6279296875
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:56,19445.0908203125
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:04,19539.044921875
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:12,19734.2939453125
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:20,19774.00390625
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:29,19852.9541015625
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:37,19908.21484375
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:45,19909.1875
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:53,20034.15625
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:01,20036.240234375
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:10,20037.4375
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:18,20051.9541015625
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:26,20061.4140625
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:34,20065.365234375
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:42,20072.94921875
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:51,20088.892578125
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:59,20111.5537109375
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:07,20137.150390625
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:15,20172.0751953125
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:23,20260.853515625
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:31,20269.173828125
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:40,20271.0283203125
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:48,20287.17578125
810EBM32TZ4K,V1.0.0,2019-07-15 11:57:56,20308.939453125
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:04,20337.83203125
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:12,20353.7099609375
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:20,20355.763671875
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:28,20365.3447265625
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:37,20385.12890625
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:45,20403.6650390625
810EBM32TZ4K,V1.0.0,2019-07-15 11:58:53,20477.7890625
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:01,20487.5771484375
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:09,20510.9755859375
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:17,20526.3564453125
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:26,20529.990234375
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:34,20541.587890625
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:42,20658.7509765625
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:50,20674.443359375
810EBM32TZ4K,V1.0.0,2019-07-15 11:59:58,20676.564453125
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:06,20697.46875
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:14,20835.7724609375
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:23,21011.8603515625
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:31,21151.5087890625
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:39,21212.9423828125
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:47,21238.9248046875
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:56,21247.2197265625
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:04,21256.0078125
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:12,21257.3427734375
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:20,21265.29296875
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:28,21274.8759765625
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:36,21389.0693359375
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:45,21402.375
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:53,21426.9375
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:01,21429.083984375
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:09,21443.0703125
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:17,21457.134765625
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:25,21471.8291015625
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:33,21471.9462890625
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:42,21473.8544921875
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:50,21508.3486328125
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:58,21532.2041015625
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:06,21539.87109375
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:14,21554.54296875
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:22,21555.4375
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:31,21557.6708984375
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:39,21580.5400390625
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:47,21747.9130859375
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:55,21902.6728515625
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:03,21958.48828125
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:11,22085.296875
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:20,22101.6611328125
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:28,22102.2177734375
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:36,22105.7041015625
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:44,22118.150390625
810EBM32TZ4K,V1.0.0,2019-07-15 12:04:52,22240.62109375
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:00,22361.3671875
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:09,22446.5576171875
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:17,22629.810546875
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:25,22630.3203125
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:33,22749.9716796875
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:41,22751.88671875
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:49,22870.7734375
810EBM32TZ4K,V1.0.0,2019-07-15 12:05:58,22876.6025390625
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:06,22885.1572265625
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:14,22892.8955078125
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:22,22900.6337890625
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:30,23018.060546875
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:38,23225.3076171875
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:47,23409.609375
810EBM32TZ4K,V1.0.0,2019-07-15 12:06:55,23522.4560546875
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:03,23524.0634765625
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:11,23537.8701171875
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:19,23539.580078125
810EBM32TZ4K,V1.0.0,2019-07-15 12:07:27,23552.8203125
