deviceid,appversion,timestamp,cpuoccupancy
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:22,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:28,  2.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:33,  2.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:38,  24
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:43,  24
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:48,  102
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:53,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:58,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:03,  9.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:08,  53
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:13,  40
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:18,  40
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:24,  46
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:29,  15
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:34,  1.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:39,  81
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:44,  75
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:49,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:54,  7.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:59,  7.3
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:04,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:10,  1.8
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:15,  14
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:20,  4.1
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:25,  1.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:30,  1.6
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:35,  6.4
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:40,  17
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:45,  10
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:50,  13
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:56,  13
