deviceid,appversion,timestamp,temperature
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:14,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:19,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:24,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:29,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:34,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:39,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:44,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:49,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:00:55,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:00,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:05,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:10,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:15,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:20,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:25,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:30,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:35,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:41,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:46,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:51,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:01:56,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:01,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:06,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:11,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:16,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:21,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:26,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:31,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:36,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:42,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:47,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:52,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:02:57,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:02,32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:03:07,32.0
