deviceid,appversion,timestamp,fps（ms）
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:31,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:36,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:41,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:46,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:51,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:57,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:02,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:07,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:12,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:17,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:22,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:27,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:32,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:37,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:42,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:47,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:53,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:58,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:03,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:08,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:13,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:18,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:23,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:28,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:33,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:38,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:44,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:49,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:54,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:59,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:04,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:09,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:14,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:19,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:24,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:29,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:35,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:40,17.301038000000002
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:45,17.301038000000002
